section,type,check,requirement,classification,description
SDK Integration,static,SDK script tag,1.1,requirement,/sdk.js in head
SDK Integration,static,YaGames.init(),1.19.1,requirement,SDK initialization
Lifecycle API,static,LoadingAPI.ready(),1.19.2,requirement,Called when game loaded
Sound Management,static,visibilitychange,1.3,requirement,Mute when tab hidden
Sound Management,static,AudioContext suspend/resume,,heuristic,AC.suspend() + AC.resume()
Ads — Interstitial,static,showFullscreenAdv,,heuristic,Interstitial present
Ads — Interstitial,static,onOpen callback,,heuristic,Pause+mute on ad
Ads — Interstitial,static,onClose callback,,heuristic,Resume after ad
Ads — Interstitial,static,onError callback,,heuristic,Error handling
Ads — Rewarded,static,showRewardedVideo,,heuristic,Rewarded present
Ads — Rewarded,static,onRewarded callback,,heuristic,Grant reward
Ads — Rewarded,static,onOpen callback,,heuristic,Pause+mute
Ads — Rewarded,static,onClose callback,,heuristic,Resume
Cloud Saves,static,player.setData(),,heuristic,Cloud save
Cloud Saves,static,player.getData(),,heuristic,Cloud load
In-App Purchases,static,getPayments(),,heuristic,Payments init
In-App Purchases,static,consumePurchase(),,heuristic,Consume after grant
In-App Purchases,static,getPurchases(),,heuristic,Check pending at start
In-App Purchases,static,getCatalog() called (REQ-1.13.2),1.13.2,requirement,Catalog provides priceCurrencyCode + getPriceCurrencyImage — required when game has IAP
In-App Purchases,static,No hardcoded ₽/$/€ near numbers (REQ-1.13.2),1.13.2,requirement,"When IAP is present, prices must use SDK currency methods (getPriceCurrencyCode/getPriceCurrencyImage)"
Localization (I18N),runtime,environment.i18n.lang,2.14,requirement,Runtime-confirmed SDK language read; source-only evidence becomes NOT VERIFIED.
Localization (I18N),static,Yandex lang fallback,,heuristic,Automatically proves be/kk/uk/uz → ru via resolver contract or common source patterns; otherwise NOT VERIFIED.
UX & Mobile,static,Context menu disabled,1.6.2.7,requirement,п.1.6.2.7 — right-click prevented
UX & Mobile,static,Text selection disabled,1.6.2.7,requirement,п.1.6.2.7 — user-select or selectstart
UX & Mobile,static,touch-action configured,,heuristic,touch-action: none/manipulation on game area
UX & Mobile,static,Viewport meta tag,,heuristic,Mobile viewport with user-scalable=no
UX & Mobile,static,Overflow hidden on body/html,1.10.2,requirement,п.1.10.2 — prevent page scroll
UX & Mobile,static,overscroll-behavior,1.10.2,requirement,п.1.10.2 — prevent swipe-to-refresh / bounce
UX & Mobile,static,-webkit-touch-callout: none,,heuristic,Prevent iOS callout menu on long press
Common Rejections,static,Scroll prevention (п.1.10.2),1.10.2,requirement,No browser scroll during gameplay
Common Rejections,static,Swipe-to-refresh blocked (iOS/Android),1.10.2,requirement,п.1.10.2 — overscroll-behavior: none/contain
Common Rejections,static,GameReady timing (п.1.19),1.19,requirement,"LoadingAPI.ready() called AFTER full load, not in SDK init"
Common Rejections,static,I18N auto-detection (п.2.14),2.14,requirement,"Language from SDK, not hardcoded"
Common Rejections,static,Sound paused during ads (п.4.7),4.7,requirement,AudioContext suspend in ad onOpen callback
Common Rejections,static,Game paused during ads (п.4.7),4.7,requirement,Gameplay stops when ad is shown
Common Rejections,static,Selection/callout in game area (п.1.6.2.7),1.6.2.7,requirement,No text selection or context menu on interaction
Dangerous Patterns,static,No alert(),,heuristic,alert() forbidden
Dangerous Patterns,static,No confirm(),,heuristic,confirm() forbidden
Dangerous Patterns,static,No prompt(),,heuristic,prompt() forbidden
Dangerous Patterns,static,No document.write(),,heuristic,document.write forbidden
Dangerous Patterns,static,No eval(),,heuristic,eval() dangerous
Archive,static,No Yandex S3 URLs,1.7,requirement,Must use relative paths
